1,0.524
2,0.524
3,0.524
4,0.564
5,0.532
6,0.524
7,0.524
8,0.648
9,0.524
10,0.588
11,0.652
12,0.688
13,0.668
14,0.5
15,0.692
16,0.676
17,0.592
18,0.588
19,0.608
20,0.736
21,0.712
22,0.496
23,0.536
24,0.748
25,0.748
26,0.668
27,0.788
28,0.728
29,0.696
30,0.692
31,0.7
32,0.516
33,0.832
34,0.816
35,0.524
36,0.776
37,0.816
38,0.732
39,0.824
40,0.84
41,0.884
42,0.848
43,0.812
44,0.88
45,0.924
46,0.776
47,0.84
48,0.856
49,0.772
50,0.908
51,0.736
52,0.8
53,0.9
54,0.86
55,0.748
56,0.824
57,0.524
58,0.528
59,0.908
60,0.852
61,0.832
62,0.876
63,0.824
64,0.72
65,0.588
66,0.9
67,0.88
68,0.892
69,0.868
70,0.9
71,0.896
72,0.74
73,0.904
74,0.896
75,0.864
76,0.88
77,0.904
78,0.892
79,0.872
80,0.896
81,0.9
82,0.9
83,0.908
84,0.908
85,0.816
86,0.904
87,0.808
88,0.92
89,0.868
90,0.908
91,0.912
92,0.908
93,0.896
94,0.924
95,0.784
96,0.908
97,0.9
98,0.92
99,0.872
100,0.896
101,0.912
102,0.916
103,0.904
104,0.524
105,0.916
106,0.708
107,0.94
108,0.916
109,0.924
110,0.916
111,0.916
112,0.924
113,0.916
114,0.932
115,0.88
116,0.916
117,0.872
118,0.916
119,0.92
120,0.912
121,0.92
122,0.792
123,0.916
124,0.936
125,0.916
126,0.88
127,0.912
128,0.816
129,0.924
130,0.928
131,0.932
132,0.928
133,0.896
134,0.932
135,0.908
136,0.932
137,0.916
138,0.908
139,0.928
140,0.928
141,0.924
142,0.94
143,0.932
144,0.952
145,0.716
146,0.936
147,0.524
148,0.932
149,0.948
150,0.936
151,0.944
152,0.92
153,0.92
154,0.94
155,0.928
156,0.932
157,0.94
158,0.932
159,0.94
160,0.904
161,0.92
162,0.944
163,0.912
164,0.94
165,0.94
166,0.936
167,0.92
168,0.94
169,0.944
170,0.94
171,0.944
172,0.948
173,0.924
174,0.952
175,0.94
176,0.948
177,0.952
178,0.932
179,0.948
180,0.952
181,0.948
182,0.948
183,0.948
184,0.952
185,0.524
186,0.948
187,0.956
188,0.94
189,0.928
190,0.944
191,0.932
192,0.94
193,0.94
194,0.944
195,0.924
196,0.936
197,0.948
198,0.928
199,0.948
200,0.96
201,0.524
202,0.964
203,0.932
204,0.964
205,0.96
206,0.924
207,0.944
208,0.944
209,0.96
210,0.94
211,0.948
212,0.948
213,0.952
214,0.964
215,0.932
216,0.948
217,0.952
218,0.964
219,0.96
220,0.964
221,0.96
222,0.932
223,0.964
224,0.888
225,0.952
226,0.948
227,0.96
228,0.952
229,0.94
230,0.968
231,0.952
232,0.956
233,0.972
234,0.968
235,0.952
236,0.94
237,0.952
238,0.944
239,0.94
240,0.96
241,0.952
242,0.952
243,0.968
244,0.96
245,0.96
246,0.972
247,0.94
248,0.932
249,0.964
250,0.972
251,0.956
252,0.96
253,0.948
254,0.972
255,0.972
256,0.94
257,0.952
258,0.956
259,0.96
260,0.944
261,0.964
262,0.96
263,0.968
264,0.964
265,0.968
266,0.96
267,0.96
268,0.944
269,0.964
270,0.96
271,0.956
272,0.968
273,0.964
274,0.96
275,0.952
276,0.968
277,0.96
278,0.952
279,0.952
280,0.972
281,0.96
282,0.964
283,0.968
284,0.96
